local_x,local_y,road_z,lanelet_id
-1.972482309826175140e+02,8.477008308623575772e+01,0.000000000000000000e+00,5.030000000000000000e+02
-1.972604213019464510e+02,8.775355005248810869e+01,0.000000000000000000e+00,5.030000000000000000e+02
-1.972726116181873692e+02,9.073701701875306469e+01,0.000000000000000000e+00,5.030000000000000000e+02
-1.972848019365133894e+02,9.372048398500952260e+01,0.000000000000000000e+00,5.030000000000000000e+02
-1.972969922558423264e+02,9.670395095126087881e+01,0.000000000000000000e+00,5.030000000000000000e+02
-1.973091823431082616e+02,9.968741791845849320e+01,0.000000000000000000e+00,5.030000000000000000e+02
-1.973213726671988866e+02,1.026708848846883484e+02,0.000000000000000000e+00,5.030000000000000000e+02
-1.973335644872623789e+02,1.056543518447966790e+02,0.000000000000000000e+00,5.030000000000000000e+02
-1.973457547838006292e+02,1.086378188111291223e+02,0.000000000000000000e+00,5.030000000000000000e+02
-1.973579470457910361e+02,1.116212857694283969e+02,0.000000000000000000e+00,5.030000000000000000e+02
-1.973701395908342135e+02,1.146047527265685062e+02,0.000000000000000000e+00,5.030000000000000000e+02
-1.973823302984363863e+02,1.175882196912111795e+02,0.000000000000000000e+00,5.030000000000000000e+02
-1.973945207728363016e+02,1.205716866568111811e+02,0.000000000000000000e+00,5.030000000000000000e+02
-1.974067112837462616e+02,1.235551536222712343e+02,0.000000000000000000e+00,5.030000000000000000e+02
-1.974189016182351395e+02,1.265386205884515789e+02,0.000000000000000000e+00,5.030000000000000000e+02
-1.974310919527884209e+02,1.295220875546376647e+02,0.000000000000000000e+00,5.030000000000000000e+02
-1.974432819292320005e+02,1.325055545222892306e+02,0.000000000000000000e+00,5.030000000000000000e+02
-1.974554722559107631e+02,1.354890214885120372e+02,0.000000000000000000e+00,5.030000000000000000e+02
-1.974676625831790489e+02,1.384724884547344175e+02,0.000000000000000000e+00,5.030000000000000000e+02
-1.974798529088948840e+02,1.414559554209626526e+02,0.000000000000000000e+00,5.030000000000000000e+02
-1.974920432336252532e+02,1.444394223871959184e+02,0.000000000000000000e+00,5.030000000000000000e+02
-1.975042335608935673e+02,1.474228893534173608e+02,0.000000000000000000e+00,5.030000000000000000e+02
-1.975164238865123707e+02,1.504063563196444875e+02,0.000000000000000000e+00,5.030000000000000000e+02
-1.975286142133851968e+02,1.533898232858620077e+02,0.000000000000000000e+00,5.030000000000000000e+02
-1.975408075549748901e+02,1.563732902397391058e+02,0.000000000000000000e+00,5.030000000000000000e+02
-1.975529979262268512e+02,1.593567572057631310e+02,0.000000000000000000e+00,5.030000000000000000e+02
-1.975651555477829220e+02,1.623402243053502900e+02,0.000000000000000000e+00,5.030000000000000000e+02
-1.975772710866177704e+02,1.653236915762323349e+02,0.000000000000000000e+00,5.030000000000000000e+02
-1.975893858176863773e+02,1.683071588503856617e+02,0.000000000000000000e+00,5.030000000000000000e+02
-1.976011730000000171e+02,1.712079540000000009e+02,-4.148999999999999910e-01,5.030000000000000000e+02
-2.227189144999999826e+02,7.138846000000000025e+00,-4.359999999999999987e-01,5.100000000000000000e+02
-2.227632284022423903e+02,1.000259231718230524e+01,0.000000000000000000e+00,5.100000000000000000e+02
-2.228089756267152950e+02,1.295753971290262108e+01,0.000000000000000000e+00,5.100000000000000000e+02
-2.228547093971171194e+02,1.591248731688979134e+01,0.000000000000000000e+00,5.100000000000000000e+02
-2.228998935413908953e+02,1.886744335919728854e+01,0.000000000000000000e+00,5.100000000000000000e+02
-2.229447845558990196e+02,2.182240388635477757e+01,0.000000000000000000e+00,5.100000000000000000e+02
-2.229896887111023318e+02,2.477736421384396692e+01,0.000000000000000000e+00,5.100000000000000000e+02
-2.230345825867760254e+02,2.773232469753181917e+01,0.000000000000000000e+00,5.100000000000000000e+02
-2.230794812467943302e+02,3.068728510852094615e+01,0.000000000000000000e+00,5.100000000000000000e+02
-2.231243833798067442e+02,3.364224546673425209e+01,0.000000000000000000e+00,5.100000000000000000e+02
-2.231692740787994467e+02,3.659720599869263680e+01,0.000000000000000000e+00,5.100000000000000000e+02
-2.232141783175835599e+02,3.955216632489856465e+01,0.000000000000000000e+00,5.100000000000000000e+02
-2.232590668363408497e+02,4.250712688998343936e+01,0.000000000000000000e+00,5.100000000000000000e+02
-2.233039708585955623e+02,4.546208721945865960e+01,0.000000000000000000e+00,5.100000000000000000e+02
-2.233488660480232966e+02,4.841704768315916141e+01,0.000000000000000000e+00,5.100000000000000000e+02
-2.233937634036960276e+02,5.137200811393596211e+01,0.000000000000000000e+00,5.100000000000000000e+02
-2.234386672843935457e+02,5.432696844557369786e+01,0.000000000000000000e+00,5.100000000000000000e+02
-2.234835614485654673e+02,5.728192892488971211e+01,0.000000000000000000e+00,5.100000000000000000e+02
-2.235284577014201659e+02,6.023688937245776742e+01,0.000000000000000000e+00,5.100000000000000000e+02
-2.235733539864652926e+02,6.319184981952414404e+01,0.000000000000000000e+00,5.100000000000000000e+02
-2.236182580108172999e+02,6.614681014900261857e+01,0.000000000000000000e+00,5.100000000000000000e+02
-2.236631482545148515e+02,6.910177068787660914e+01,0.000000000000000000e+00,5.100000000000000000e+02
-2.237080506303290122e+02,7.205673104240527493e+01,0.000000000000000000e+00,5.100000000000000000e+02
-2.237529502538204156e+02,7.501169143874385270e+01,0.000000000000000000e+00,5.100000000000000000e+02
-2.237978436003639331e+02,7.796665193047769549e+01,0.000000000000000000e+00,5.100000000000000000e+02
-2.238427471464597147e+02,8.092161226720796208e+01,0.000000000000000000e+00,5.100000000000000000e+02
-2.238876361413980476e+02,8.387657282505904277e+01,0.000000000000000000e+00,5.100000000000000000e+02
